date,eurcad_open,eurcad_high,eurcad_low,eurcad_close,eurcad_volume,gbpaud_open,gbpaud_high,gbpaud_low,gbpaud_close,gbpaud_volume,usdjpy_open,usdjpy_high,usdjpy_low,usdjpy_close,usdjpy_volume,eurgbp_open,eurgbp_high,eurgbp_low,eurgbp_close,eurgbp_volume,eurusd_open,eurusd_high,eurusd_low,eurusd_close,eurusd_volume,audcad_open,audcad_high,audcad_low,audcad_close,audcad_volume,audjpy_open,audjpy_high,audjpy_low,audjpy_close,audjpy_volume,audusd_open,audusd_high,audusd_low,audusd_close,audusd_volume,audchf_open,audchf_high,audchf_low,audchf_close,audchf_volume,usdchf_open,usdchf_high,usdchf_low,usdchf_close,usdchf_volume,gbpusd_open,gbpusd_high,gbpusd_low,gbpusd_close,gbpusd_volume,eurjpy_open,eurjpy_high,eurjpy_low,eurjpy_close,eurjpy_volume,cadjpy_open,cadjpy_high,cadjpy_low,cadjpy_close,cadjpy_volume,nzdusd_open,nzdusd_high,nzdusd_low,nzdusd_close,nzdusd_volume,audnzd_open,audnzd_high,audnzd_low,audnzd_close,audnzd_volume,euraud_open,euraud_high,euraud_low,euraud_close,euraud_volume,usdcad_open,usdcad_high,usdcad_low,usdcad_close,usdcad_volume,eurchf_open,eurchf_high,eurchf_low,eurchf_close,eurchf_volume,gbpjpy_open,gbpjpy_high,gbpjpy_low,gbpjpy_close,gbpjpy_volume,chfjpy_open,chfjpy_high,chfjpy_low,chfjpy_close,chfjpy_volume
2007-11-25 00:00:00,1.46238,1.46428,1.45972,1.46176,8356,2.33887,2.34747,2.33658,2.34088,1167,108.4,108.78,108.33,108.65,119556,0.71905,0.71925,0.7186,0.71875,61251,1.48193,1.48381,1.48159,1.48322,53351,0.86867,0.86877,0.86597,0.86647,19,95.397,96.01,95.2,95.73,109713,0.88217,0.8843,0.88197,0.8837,2465,0.97097,0.97357,0.96772,0.97212,2283,1.10329,1.1039,1.1028,1.10345,111941,2.06016,2.06435,2.05987,2.06355,54238,160.66,161.42,160.56,161.185,105961,109.76,110.45,109.68,110.2,25231,0.76047,0.7623,0.7574,0.76115,53445,1.15532,1.15898,1.15484,1.1563,1597,1.6828,1.6892,1.68035,1.68265,18787,0.98679,0.9874,0.98405,0.98555,28347,1.63508,1.6374,1.6348,1.637,135795,223.288,224.455,223.17,224.2,44602,98.189,98.57,98.15,98.425,79634
2007-11-26 00:00:00,1.46201,1.47441,1.45553,1.47004,252527,2.3407,2.3861,2.33135,2.37175,32241,108.65,108.77,107.215,107.37,1223235,0.71875,0.7195,0.7162,0.71875,2299972,1.48342,1.48869,1.48011,1.4871,858809,0.86697,0.87007,0.85937,0.86057,141,95.73,96.375,92.995,93.615,696249,0.88377,0.88687,0.86662,0.87857,36686,0.97205,0.97824,0.95052,0.9562,25018,1.10345,1.10715,1.09545,1.0969,1093612,2.06355,2.07375,2.06125,2.0688,401800,161.18,161.475,159.51,159.685,1199896,110.2,110.715,108.135,108.58,849560,0.76115,0.7629,0.7486,0.7523,616977,1.15623,1.16447,1.15504,1.15763,22967,1.68285,1.7157,1.67465,1.7053,288931,0.98555,0.99135,0.9799,0.9887,751651,1.637,1.63965,1.63035,1.6316,1746163,224.2,224.825,221.895,222.125,506671,98.425,98.65,97.695,97.85,1181914
2007-11-27 00:00:00,1.47008,1.48438,1.46057,1.47685,252430,2.37222,2.37568,2.35195,2.35478,32270,107.37,109.145,107.295,108.82,1428113,0.7188,0.7196,0.71605,0.71755,2264856,1.48707,1.49078,1.48061,1.48332,855841,0.86137,0.87367,0.86017,0.87307,50,93.615,95.865,93.505,95.465,639064,0.87847,0.88057,0.87117,0.87577,32368,0.95608,0.97064,0.95568,0.96954,24898,1.0969,1.1069,1.0955,1.1052,977679,2.06875,2.0755,2.06405,2.06705,551219,159.685,161.83,159.355,161.435,1144868,108.58,110.74,108.085,109.225,1836258,0.7523,0.763,0.7515,0.7593,2906031,1.15744,1.15947,1.15016,1.1543,22892,1.70525,1.7065,1.68695,1.69015,779895,0.9887,1.00005,0.982,0.99575,1247752,1.6316,1.64115,1.63145,1.6396,3820082,222.125,225.805,222.045,224.94,451001,97.86,98.97,97.635,98.425,1082765
2007-11-28 00:00:00,1.47697,1.4789,1.4567,1.46412,251654,2.35451,2.3648,2.33217,2.34504,32258,108.82,110.48,108.255,109.965,2263893,0.71755,0.718,0.71215,0.7139,2186948,1.48337,1.48579,1.47078,1.48372,857946,0.87187,0.87707,0.86967,0.87447,39,95.465,98.19,94.695,97.41,606040,0.87568,0.89195,0.87187,0.88287,34338,0.9697,0.99129,0.96495,0.98395,24810,1.1052,1.1195,1.104,1.1108,1195239,2.06695,2.08325,2.05825,2.07835,469925,161.43,163.59,160.225,163.17,874181,109.225,112.01,108.565,111.39,1368071,0.7593,0.77595,0.7564,0.77035,2479747,1.15348,1.15423,1.14251,1.14887,22650,1.69015,1.69615,1.6637,1.67425,1099244,0.99575,0.99985,0.98385,0.98685,1082108,1.6396,1.65135,1.637,1.64845,3702154,224.93,229.3,223.68,228.535,574561,98.425,99.15,97.575,98.955,1076587
2007-11-29 00:00:00,1.46407,1.47486,1.44996,1.47067,251856,2.34482,2.35621,2.331,2.33481,32264,109.965,110.305,109.47,109.77,1336722,0.7139,0.7165,0.71285,0.71545,1549842,1.48368,1.48442,1.47188,1.47561,861008,0.87227,0.88017,0.87127,0.88017,63,97.41,97.545,96.19,96.935,660001,0.88277,0.88867,0.87747,0.88637,28505,0.98396,0.98916,0.97993,0.98605,24656,1.1108,1.12085,1.1103,1.11695,1245484,2.07835,2.07935,2.05935,2.0625,420060,163.17,163.605,161.55,162,970457,111.39,111.915,109.63,110.08,1105017,0.77035,0.7745,0.76745,0.77075,2342798,1.14888,1.14948,1.14024,1.14437,22724,1.67435,1.68315,1.6663,1.67075,932491,0.98685,0.99935,0.98345,0.99675,1194207,1.64845,1.651,1.64725,1.6483,3548299,228.535,229.145,225.73,226.395,508980,98.955,99.165,97.955,98.255,1410942
2007-11-30 00:00:00,1.47074,1.47591,1.45986,1.46004,244348,2.33484,2.33834,2.3177,2.3237,31087,109.77,111.22,109.675,111.12,1301622,0.71545,0.71635,0.7107,0.7111,969424,1.47552,1.47849,1.46231,1.46315,840527,0.88007,0.88397,0.87957,0.88143,91,96.935,98.67,96.76,98.281,630453,0.88657,0.88947,0.88057,0.88272,24379,0.98608,1.00127,0.98479,1.00018,22394,1.11685,1.13262,1.11605,1.1315,970966,2.0625,2.06995,2.05325,2.05653,487560,162,163.855,162,162.555,817515,110.08,111.535,109.98,111.125,1014433,0.77075,0.77515,0.75935,0.76382,2058111,1.14437,1.15901,1.14356,1.15549,21420,1.67075,1.67415,1.65565,1.65585,787307,0.99675,1.00185,0.9921,0.99862,1026086,1.6482,1.6587,1.64815,1.65622,2597675,226.395,229.335,226.355,228.665,504840,98.255,99.065,98.025,98.195,1812394
2007-12-02 00:00:00,1.46214,1.46403,1.4604,1.46356,8396,2.32545,2.32913,2.32156,2.32879,1164,111.01,111.02,110.85,110.92,26682,0.7123,0.71285,0.71195,0.71235,30533,1.4636,1.46653,1.46338,1.46583,21026,0.88127,0.88287,0.88127,0.88233,8,98.02,98.235,97.85,97.98,40559,0.87997,0.88017,0.87857,0.87967,828,0.9979,1.00033,0.99629,0.9969,1982,1.1305,1.13095,1.12855,1.129,31314,2.0546,2.05835,2.05425,2.05765,14494,162.51,162.705,162.315,162.625,49264,111.01,111.165,110.87,111.045,20521,0.762,0.7648,0.7613,0.7639,40038,1.15693,1.15833,1.15466,1.15472,1522,1.6572,1.65995,1.654,1.65935,17627,0.9991,0.9997,0.9975,0.99855,35367,1.6552,1.6563,1.65395,1.65545,32497,228.07,228.355,227.72,228.245,19099,98.14,98.26,98.04,98.215,36483
2007-12-03 00:00:00,1.46352,1.47232,1.46192,1.46635,251601,2.32875,2.34832,2.3249,2.34191,32200,110.92,111.01,110.13,110.45,639485,0.71235,0.71365,0.70885,0.71065,986122,1.46585,1.47077,1.4618,1.46682,856412,0.88167,0.88437,0.87837,0.87987,182,97.98,98.095,97.145,97.295,664341,0.87977,0.88437,0.87277,0.87417,18378,0.997,0.99791,0.98943,0.99267,24314,1.129,1.13055,1.125,1.1271,644424,2.0576,2.06785,2.05235,2.0637,420614,162.595,162.655,161.42,162.035,1117643,111.045,111.12,109.78,110.44,414283,0.764,0.7682,0.7606,0.7644,410188,1.15484,1.15669,1.14917,1.15091,22116,1.65935,1.6696,1.65635,1.6648,319244,0.9985,1.0042,0.9975,0.9998,417675,1.65545,1.65725,1.6514,1.65335,854625,228.245,228.485,226.535,227.925,531793,98.21,98.265,97.595,97.96,893139
2007-12-04 00:00:00,1.46644,1.49794,1.46478,1.49362,251362,2.34199,2.36649,2.34157,2.35903,32219,110.455,110.52,109.555,109.845,623475,0.71065,0.71785,0.70905,0.717,900884,1.46673,1.47688,1.46315,1.47609,861687,0.87917,0.88517,0.87447,0.88177,140,97.295,97.35,95.49,95.8,875808,0.87427,0.87647,0.86767,0.87047,25559,0.99266,0.9929,0.97063,0.97392,24246,1.1271,1.1319,1.1158,1.1171,929739,2.06385,2.0673,2.0559,2.05825,584767,162.035,162.335,160.9,162.175,1261976,110.44,110.5,107.95,108.5,696533,0.7644,0.7655,0.75955,0.7618,436393,1.15099,1.15122,1.14074,1.1435,22861,1.6648,1.69755,1.66415,1.6919,379785,0.99975,1.01525,0.9992,1.0119,388477,1.65345,1.6574,1.64665,1.6491,1204534,227.925,228.105,225.57,226.095,514164,97.955,98.425,97.45,98.315,1038191
2007-12-05 00:00:00,1.49373,1.50286,1.47568,1.47597,252226,2.35907,2.36738,2.32043,2.32668,32228,109.845,110.96,109.755,110.915,703952,0.717,0.7239,0.71675,0.7199,1589881,1.47599,1.47701,1.45905,1.45932,859908,0.87903,0.88397,0.87903,0.88097,101,95.8,96.83,95.26,96.595,883800,0.87057,0.87447,0.86597,0.87337,24322,0.97407,0.98344,0.96905,0.98278,24119,1.1171,1.12875,1.11525,1.12875,1181341,2.05835,2.05875,2.02465,2.02695,682895,162.175,163.065,161.475,161.885,993857,108.495,109.76,107.88,109.63,746589,0.7618,0.77305,0.75765,0.7712,523809,1.14379,1.14544,1.12454,1.12805,23408,1.69195,1.69985,1.67465,1.67555,396141,1.012,1.0215,1.00965,1.0114,257975,1.6491,1.65155,1.6453,1.64745,1186060,226.095,227.4,223.695,224.815,576435,98.315,98.81,97.99,98.235,1261316
2007-12-06 00:00:00,1.47633,1.48564,1.47313,1.47807,251657,2.32672,2.32936,2.30377,2.30549,32215,110.915,111.46,110.62,111.375,591361,0.7199,0.72265,0.71765,0.72245,993183,1.4595,1.46593,1.45234,1.4655,856445,0.88057,0.88657,0.88057,0.88597,106,96.595,97.95,96.365,97.94,355694,0.87347,0.87967,0.86907,0.87747,17939,0.98281,0.99334,0.98048,0.99194,23964,1.12875,1.1353,1.1264,1.12805,910096,2.02705,2.03115,2.0179,2.02815,595251,161.885,163.27,161.195,163.24,1058946,109.63,110.51,108.76,110.38,629336,0.77115,0.77815,0.7681,0.77695,375500,1.12807,1.13346,1.12518,1.13017,22547,1.67555,1.67835,1.66335,1.66625,309572,1.01145,1.01935,1.0074,1.0086,209106,1.64745,1.6543,1.6461,1.65345,1207718,224.815,226.09,223.965,225.865,492586,98.235,98.705,97.77,98.705,895007
2007-12-07 00:00:00,1.47784,1.48477,1.4649,1.4723,248121,2.30568,2.32401,2.30078,2.31551,30705,111.375,111.785,111.165,111.725,510059,0.72245,0.7232,0.7194,0.72156,1048406,1.46557,1.46725,1.45946,1.46534,839492,0.88547,0.88707,0.87837,0.88007,201,97.935,98.5,97.375,97.786,257060,0.87739,0.88267,0.87407,0.87737,18314,0.99192,0.99631,0.98689,0.98764,21900,1.12805,1.13325,1.12749,1.12753,755063,2.02815,2.03455,2.022,2.0297,440049,163.245,163.885,162.35,163.695,710533,110.38,111.51,109.71,111.105,494599,0.77695,0.78165,0.7744,0.77616,321032,1.13026,1.13121,1.12295,1.12696,20986,1.66625,1.6744,1.66045,1.67115,187335,1.00835,1.01495,1.0007,1.00458,187908,1.6534,1.657,1.6526,1.65315,1220488,225.875,227.065,224.835,226.65,402207,98.705,98.992,98.115,98.945,1112513
2007-12-09 00:00:00,1.47116,1.47439,1.47053,1.47324,4550,2.32182,2.32572,2.31849,2.31935,1491,111.43,111.675,111.345,111.65,35451,0.7215,0.7217,0.72025,0.72065,84186,1.46539,1.46581,1.46443,1.46508,20856,0.87737,0.88107,0.87587,0.88027,83,97.356,97.85,97.23,97.825,71797,0.87577,0.87627,0.8754,0.87627,622,0.98538,0.98824,0.98383,0.98817,2037,1.12775,1.12835,1.12727,1.12775,81930,2.03008,2.0334,2.0298,2.03285,42156,163.28,163.63,163.19,163.59,58840,110.89,111.14,110.755,110.965,40781,0.77337,0.7747,0.77225,0.77435,48398,1.1263,1.13066,1.124,1.12981,1554,1.6774,1.6777,1.67095,1.67185,10735,1.00393,1.0062,1.00354,1.00565,30304,1.65301,1.65335,1.65195,1.6527,75377,226.185,227,226.11,226.975,33454,98.737,98.96,98.68,98.955,91324
2007-12-10 00:00:00,1.47322,1.48852,1.46908,1.47959,251355,2.31969,2.32737,2.30663,2.30846,32084,111.65,111.91,111.455,111.81,867766,0.72065,0.72115,0.7179,0.71935,1321729,1.46512,1.47356,1.46361,1.47072,858276,0.88057,0.89207,0.87963,0.89077,363,97.825,99.12,97.465,98.995,403899,0.87618,0.88877,0.87607,0.88847,20864,0.98794,0.99981,0.9863,0.99858,23850,1.12775,1.1303,1.12345,1.1282,772867,2.03285,2.04885,2.031,2.0443,459214,163.6,164.655,163.23,164.46,859204,110.965,111.665,110.305,111.09,621459,0.77401,0.7834,0.77164,0.7815,355195,1.12956,1.13484,1.12863,1.13133,21980,1.67185,1.6762,1.6588,1.6612,200219,1.00565,1.01175,1.0005,1.006,200582,1.6526,1.6599,1.6526,1.6595,1210266,226.975,228.855,226.465,228.555,1697885,98.955,99.395,98.645,99.07,916905
2007-12-11 00:00:00,1.47941,1.49256,1.47534,1.48354,252048,2.30826,2.33585,2.29317,2.32076,32058,111.81,112.135,110.475,110.88,709595,0.7194,0.7216,0.71525,0.72015,1446284,1.47061,1.47506,1.46378,1.46586,863542,0.89087,0.89647,0.88507,0.88677,299,98.995,99.43,96.28,97.22,416179,0.88857,0.88947,0.87097,0.87597,24487,0.99851,1.00702,0.98435,0.99056,23673,1.1282,1.1362,1.12535,1.1299,811315,2.0443,2.05195,2.0328,2.0355,585185,164.46,164.985,161.895,162.555,1074947,111.09,111.39,108.73,109.52,652715,0.78165,0.78565,0.7713,0.7771,330675,1.13149,1.13439,1.12509,1.12693,22183,1.6612,1.68415,1.65275,1.6717,263422,1.006,1.01655,1.00385,1.01195,256303,1.6595,1.6668,1.65485,1.6567,1360868,228.555,229.835,224.785,225.665,2183332,99.07,99.28,97.665,98.09,833274
2007-12-12 00:00:00,1.48339,1.49482,1.47813,1.48783,251739,2.32088,2.32723,2.30118,2.31113,32090,110.88,112.465,110.795,112.02,1406172,0.72015,0.72065,0.71625,0.7193,1633026,1.46609,1.4748,1.46469,1.4711,861840,0.88677,0.89497,0.88397,0.89427,201,97.22,100.06,96.995,99.105,701761,0.87588,0.89017,0.87574,0.88237,28127,0.99055,1.0123,0.98858,1.00295,23400,1.1299,1.14015,1.12735,1.13405,1151767,2.0356,2.0581,2.0348,2.04455,708747,162.555,165.3,162.39,164.805,1463104,109.515,111.47,109.4,110.715,762334,0.77705,0.7937,0.7763,0.7864,436445,1.12668,1.12825,1.11504,1.12355,22645,1.6717,1.675,1.6488,1.66275,431604,1.01195,1.01755,1.0055,1.0115,314135,1.6568,1.67285,1.65655,1.66875,1786659,225.665,230.345,225.56,229.035,1171207,98.09,99.05,97.905,98.73,1070970
2007-12-13 00:00:00,1.48791,1.49456,1.48291,1.49085,251435,2.31019,2.3352,2.30569,2.32497,32103,112.025,112.46,111.405,112.32,623942,0.7193,0.7209,0.7147,0.71605,1348503,1.47108,1.47379,1.45742,1.46248,863408,0.89417,0.89477,0.88997,0.89467,163,99.105,99.235,97.85,98.625,624814,0.88247,0.88327,0.87337,0.87659,21377,1.00322,1.00355,0.99418,1.00216,23286,1.13405,1.14505,1.12975,1.1416,499069,2.04455,2.04825,2.034,2.0422,531862,164.805,164.935,163.595,164.29,1029434,110.715,110.895,109.54,110.135,212682,0.78635,0.7873,0.77785,0.7813,414700,1.12406,1.12507,1.11667,1.1228,23241,1.66265,1.67325,1.65905,1.66535,305245,1.01155,1.02325,1.0094,1.0195,724251,1.6687,1.6719,1.6643,1.6699,1591200,229.045,229.775,227.455,229.375,462308,98.725,98.845,98.075,98.365,780410
